position=<128, 193> velocity=<-3, -4>
position=<174, 200> velocity=<3, -1>
position=<177, 200> velocity=<-1, -5>
position=<177, 200> velocity=<-1, -3>
position=<177, 200> velocity=<-5, -2>
position=<182, 200> velocity=<3, -4>
position=<182, 200> velocity=<2, -4>
position=<182, 200> velocity=<5, -5>
position=<126, 201> velocity=<-3, 2>
position=<131, 201> velocity=<-1, -3>
position=<134, 201> velocity=<2, 1>
position=<134, 201> velocity=<5, 5>
position=<138, 201> velocity=<-2, 3>
position=<142, 201> velocity=<5, -1>
position=<142, 201> velocity=<-2, -3>
position=<150, 201> velocity=<-2, -1>
position=<154, 201> velocity=<-3, 3>
position=<155, 201> velocity=<-2, 3>
position=<155, 201> velocity=<-4, -5>
position=<155, 201> velocity=<-1, 1>
position=<158, 201> velocity=<5, -1>
position=<163, 201> velocity=<5, -3>
position=<166, 201> velocity=<3, -1>
position=<166, 201> velocity=<5, -3>
position=<166, 201> velocity=<3, 3>
position=<171, 201> velocity=<-5, -1>
position=<174, 201> velocity=<-2, 4>
position=<174, 201> velocity=<2, -1>
position=<174, 201> velocity=<-1, -3>
position=<178, 201> velocity=<-4, -5>
position=<182, 201> velocity=<-1, -3>
position=<182, 201> velocity=<1, -4>
position=<182, 201> velocity=<-5, 3>
position=<126, 202> velocity=<3, 3>
position=<131, 202> velocity=<-5, 4>
position=<135, 202> velocity=<4, 2>
position=<136, 202> velocity=<-3, -1>
position=<137, 202> velocity=<1, 3>
position=<142, 202> velocity=<1, 3>
position=<142, 202> velocity=<3, -2>
position=<143, 202> velocity=<4, 1>
position=<144, 202> velocity=<4, -1>
position=<145, 202> velocity=<-3, 5>
position=<145, 202> velocity=<-1, 1>
position=<146, 202> velocity=<4, -5>
position=<146, 202> velocity=<3, 3>
position=<147, 202> velocity=<-4, -1>
position=<147, 202> velocity=<5, -2>
position=<150, 202> velocity=<1, -3>
position=<150, 202> velocity=<1, 3>
position=<150, 202> velocity=<3, 1>
position=<155, 202> velocity=<1, -2>
position=<155, 202> velocity=<-4, 1>
position=<155, 202> velocity=<-3, -5>
position=<158, 202> velocity=<-3, 1>
position=<158, 202> velocity=<1, -3>
position=<158, 202> velocity=<5, 2>
position=<163, 202> velocity=<5, 4>
position=<166, 202> velocity=<3, 5>
position=<166, 202> velocity=<-2, 1>
position=<171, 202> velocity=<-5, -2>
position=<171, 202> velocity=<-4, 3>
position=<171, 202> velocity=<2, -3>
position=<174, 202> velocity=<-5, -2>
position=<179, 202> velocity=<-5, -5>
position=<179, 202> velocity=<3, -4>
position=<182, 202> velocity=<5, 4>
position=<182, 202> velocity=<-1, 5>
position=<183, 202> velocity=<1, -5>
position=<183, 202> velocity=<-4, -5>
position=<184, 202> velocity=<-2, 5>
position=<184, 202> velocity=<-5, -3>
position=<184, 202> velocity=<-3, 1>
position=<185, 202> velocity=<1, 2>
position=<185, 202> velocity=<3, 2>
position=<186, 202> velocity=<-5, 4>
position=<186, 202> velocity=<1, 1>
position=<187, 202> velocity=<-5, 1>
